Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
6/18/2017 9:23,6/18/2017 9:29,358,Sangamon St & Washington Blvd (*),Franklin St & Monroe St,Subscriber,Male,1984
3/18/2017 15:08,3/18/2017 15:17,571,Southport Ave & Roscoe St,Broadway & Waveland Ave,Subscriber,Male,1952
6/13/2017 13:01,6/13/2017 13:09,497,Streeter Dr & Grand Ave,Michigan Ave & Oak St,Customer,,
5/25/2017 7:53,5/25/2017 8:00,418,Michigan Ave & Washington St,Wacker Dr & Washington St,Subscriber,Female,1991
4/23/2017 14:46,4/23/2017 14:54,474,Loomis St & Lexington St,Racine Ave & Congress Pkwy,Customer,,
5/18/2017 19:21,5/18/2017 19:25,261,Daley Center Plaza,Canal St & Madison St,Subscriber,Male,1971
6/23/2017 18:26,6/23/2017 18:36,612,Wells St & Walton St,Sheffield Ave & Willow St,Subscriber,Male,1989
6/27/2017 7:43,6/27/2017 7:50,433,Orleans St & Merchandise Mart Plaza,Larrabee St & Division St,Subscriber,Male,1985
6/23/2017 22:12,6/23/2017 22:34,1309,Rush St & Superior St,Sangamon St & Washington Blvd (*),Subscriber,Male,1989
5/27/2017 15:04,5/27/2017 15:42,2266,Lakefront Trail & Bryn Mawr Ave,Lakefront Trail & Bryn Mawr Ave,Customer,,
5/14/2017 14:13,5/14/2017 14:26,768,Desplaines St & Kinzie St,Ashland Ave & Division St,Customer,,
5/29/2017 19:18,5/29/2017 19:32,838,Ritchie Ct & Banks St,Lake Shore Dr & Ohio St,Subscriber,Female,1982
5/12/2017 10:52,5/12/2017 10:56,239,Chicago Ave & Sheridan Rd,Sheridan Rd & Noyes St (NU),Subscriber,Male,1998
4/30/2017 6:27,4/30/2017 6:30,225,Wilton Ave & Diversey Pkwy,Hampden Ct & Diversey Pkwy,Subscriber,Male,1959
5/22/2017 9:38,5/22/2017 9:43,285,Canal St & Taylor St,Clinton St & Jackson Blvd,Subscriber,Male,1969
5/25/2017 11:37,5/25/2017 11:46,502,MLK Jr Dr & 29th St,State St & 33rd St,Subscriber,Male,1995
5/4/2017 14:03,5/4/2017 14:12,542,Clark St & Chicago Ave,LaSalle St & Jackson Blvd,Subscriber,Male,1963
6/6/2017 11:33,6/6/2017 11:47,883,Sedgwick St & Huron St,Michigan Ave & Madison St,Subscriber,Male,1972
2/10/2017 19:08,2/10/2017 19:11,182,Ravenswood Ave & Berteau Ave,Ashland Ave & Belle Plaine Ave,Subscriber,Male,1984
5/26/2017 11:55,5/26/2017 11:58,174,Clark St & Wellington Ave,Wilton Ave & Belmont Ave,Subscriber,Female,1985
1/7/2017 13:56,1/7/2017 14:05,482,Federal St & Polk St,Michigan Ave & 18th St,Subscriber,Male,1983
1/23/2017 16:40,1/23/2017 16:56,994,St. Clair St & Erie St,Canal St & Adams St,Subscriber,Male,1961
4/8/2017 17:12,4/8/2017 17:56,2647,Dusable Harbor,Lake Shore Dr & Belmont Ave,Customer,,
5/13/2017 12:27,5/13/2017 12:57,1776,Hampden Ct & Diversey Pkwy,California Ave & Byron St,Subscriber,Female,1985
6/11/2017 15:24,6/11/2017 15:32,486,Calumet Ave & 33rd St,MLK Jr Dr & 29th St,Subscriber,Male,1991
5/22/2017 17:42,5/22/2017 17:56,851,Dearborn Pkwy & Delaware Pl,Canal St & Madison St,Subscriber,Male,1984
2/13/2017 17:08,2/13/2017 17:19,635,Logan Blvd & Elston Ave,Sheffield Ave & Wrightwood Ave,Subscriber,Male,1988
5/13/2017 7:08,5/13/2017 7:26,1085,Western Ave & Congress Pkwy,LaSalle St & Washington St,Subscriber,Male,1989
4/4/2017 13:32,4/4/2017 13:36,286,State St & Randolph St,LaSalle St & Illinois St,Subscriber,Male,1975
2/19/2017 21:41,2/19/2017 21:54,807,St. Clair St & Erie St,Wabash Ave & Wacker Pl,Customer,,
6/13/2017 19:48,6/13/2017 20:00,718,University Ave & 57th St,Cottage Grove Ave & 47th St,Subscriber,Male,1965
6/17/2017 13:26,6/17/2017 13:45,1135,Dusable Harbor,Streeter Dr & Grand Ave,Customer,,
6/7/2017 12:56,6/7/2017 12:58,102,Clinton St & Lake St,Clinton St & Madison St,Subscriber,Male,1978
5/3/2017 14:54,5/3/2017 15:07,817,Franklin St & Jackson Blvd,Lake Shore Dr & Monroe St,Customer,,
6/24/2017 10:11,6/24/2017 10:18,408,Clark St & Elm St,Mies van der Rohe Way & Chestnut St,Subscriber,Female,1994
2/5/2017 9:24,2/5/2017 9:39,930,Sedgwick St & North Ave,Kingsbury St & Kinzie St,Subscriber,Male,1950
5/26/2017 12:38,5/26/2017 12:42,230,Loomis St & Lexington St,Hermitage Ave & Polk St,Subscriber,Male,1978
6/7/2017 17:38,6/7/2017 17:55,1066,Morgan St & Lake St,Morgan St & 18th St,Subscriber,Male,1979
1/12/2017 19:25,1/12/2017 19:51,1570,State St & Kinzie St,Stockton Dr & Wrightwood Ave,Subscriber,Male,1974
4/15/2017 13:36,4/15/2017 13:53,1033,Sheffield Ave & Willow St,Southport Ave & Clybourn Ave,Subscriber,Male,1964
6/20/2017 20:11,6/20/2017 20:23,721,Lake Shore Dr & Ohio St,Michigan Ave & Lake St,Subscriber,Male,1990
6/20/2017 17:53,6/20/2017 17:58,309,Washtenaw Ave & Lawrence Ave,Kedzie Ave & Leland Ave,Subscriber,Male,1973
6/8/2017 7:43,6/8/2017 7:55,702,Eckhart Park,Clark St & Randolph St,Subscriber,Male,1972
6/17/2017 19:25,6/17/2017 20:13,2886,Ashland Ave & Lake St,Green St & Randolph St,Subscriber,Female,1964
1/24/2017 17:41,1/24/2017 17:45,257,Franklin St & Chicago Ave,Clark St & Elm St,Subscriber,Male,1995
1/26/2017 13:17,1/26/2017 13:45,1692,Adler Planetarium,Millennium Park,Subscriber,Female,1992
5/30/2017 17:55,5/30/2017 18:06,648,Kingsbury St & Kinzie St,Canal St & Adams St,Subscriber,Male,1994
6/23/2017 11:06,6/23/2017 11:13,415,LaSalle St & Jackson Blvd,Michigan Ave & Madison St,Subscriber,Male,1970
5/20/2017 12:30,5/20/2017 12:37,444,Broadway & Cornelia Ave,Lake Shore Dr & Belmont Ave,Subscriber,Male,1990
2/15/2017 6:57,2/15/2017 7:07,579,Rush St & Hubbard St,Franklin St & Quincy St,Subscriber,Male,1986
6/25/2017 12:52,6/25/2017 13:00,490,Halsted St & Wrightwood Ave,Bissell St & Armitage Ave,Customer,,
5/15/2017 8:22,5/15/2017 8:28,335,Shore Dr & 55th St,Lake Park Ave & 56th St,Subscriber,Male,1966
6/1/2017 17:56,6/1/2017 18:07,686,Burnham Harbor,Adler Planetarium,Subscriber,Male,1993
6/25/2017 15:40,6/25/2017 16:11,1860,Streeter Dr & Grand Ave,Burnham Harbor,Subscriber,Female,1990
4/10/2017 12:07,4/10/2017 12:14,381,Southport Ave & Wrightwood Ave,Halsted St & Wrightwood Ave,Subscriber,Male,1992
1/31/2017 8:18,1/31/2017 8:30,716,Federal St & Polk St,Canal St & Madison St,Subscriber,Male,1985
3/31/2017 19:11,3/31/2017 19:18,461,Damen Ave & Cortland St,Damen Ave & Pierce Ave,Subscriber,Male,1989
5/31/2017 21:05,5/31/2017 21:24,1125,Orleans St & Merchandise Mart Plaza,Damen Ave & Pierce Ave,Subscriber,Male,1977
5/17/2017 17:31,5/17/2017 17:40,509,Sheridan Rd & Irving Park Rd,Montrose Harbor,Subscriber,Male,1984
2/20/2017 15:07,2/20/2017 15:18,681,Ada St & Washington Blvd,Wolcott Ave & Polk St,Subscriber,Male,1992
6/24/2017 12:26,6/24/2017 12:43,1020,Wabash Ave & Grand Ave,Mies van der Rohe Way & Chestnut St,Subscriber,Female,1993
5/15/2017 17:43,5/15/2017 17:51,477,Michigan Ave & Washington St,Clinton St & Washington Blvd,Subscriber,Male,1986
6/14/2017 17:05,6/14/2017 17:15,617,Wabash Ave & Adams St,Orleans St & Ohio St,Subscriber,Male,1985
6/15/2017 18:08,6/15/2017 18:15,431,Columbus Dr & Randolph St,Dearborn St & Monroe St,Subscriber,Male,1973
6/9/2017 13:48,6/9/2017 14:06,1071,Streeter Dr & Grand Ave,Lake Shore Dr & North Blvd,Subscriber,Male,1991
2/3/2017 17:58,2/3/2017 18:06,477,State St & Kinzie St,Clark St & Congress Pkwy,Subscriber,Male,1977
4/18/2017 6:35,4/18/2017 6:38,198,Clinton St & Washington Blvd,LaSalle St & Washington St,Subscriber,Male,1959
6/4/2017 12:37,6/4/2017 12:44,445,Larrabee St & Division St,Rush St & Cedar St,Subscriber,Female,1990
4/21/2017 15:40,4/21/2017 15:44,275,Marion St & South Blvd,Forest Ave & Chicago Ave,Subscriber,Male,1975
3/7/2017 18:17,3/7/2017 18:26,529,Ellis Ave & 58th St,Shore Dr & 55th St,Subscriber,Female,1987
3/7/2017 14:34,3/7/2017 14:41,419,Clinton St & Roosevelt Rd,Morgan St & 18th St,Subscriber,Male,1981
